accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps]
7,-883.7503,-6816.2524
-852.4888,-248.9170,228.5499,-39576.2617,-6685.0029,1295.0004
-532.2262,-33.6605,152.8138,-99960.0312,-23065.0078,80132.5234
-674.8565,1040.3046,-61.1011,-144672.5625,-19477.5078,275668.8437
-1121.4677,592.3517,-256.6613,-28157.5097,19215.0078,286685.1250
-992.4970,445.5748,-354.5329,136727.5468,170773.8125,278407.5937
-860.6600,-154.1553,-78.6022,45552.5156,51782.5195,-34711.2617
-843.0370,-161.2899,-46.1612,44905.0156,52946.2695,-31867.5136
-790.1681,-231.5379,-59.0278,23607.5078,43872.5156,-18235.0058
-56.8936,-23.7819,213.3051,-14446.2548,-23957.5078,29260.0117
-214.8296,870.7825,348.9228,-25681.2578,-175306.3125,234150.0937
-1161.4703,1201.8995,585.8879,53357.5195,-249576.3593,286685.1250
-1571.4332,914.7485,1122.2606,56446.2734,-252043.8281,286685.1250
-911.3337,211.7806,115.2506,-87710.0312,-116445.0390,119857.5390
-473.4423,-8.6590,40.1243,10648.7539,58660.0234,-57995.0195
-473.4423,-8.6590,40.7341,10648.7539,58660.0234,-57995.0195
-462.8319,-254.8929,-152.9967,-18348.7558,34020.0117,-11348.7548
-276.4796,-48.9053,86.9563,-28726.2597,-14402.5058,61180.0273
-295.2611,73.8458,8.5981,-30126.2617,-133070.0468,220325.0937
-819.0722,749.3120,214.4638,-29636.2597,-229311.3437,286685.1250
-1387.7030,1728.6984,939.0792,-17692.5058,-268835.0937,286685.1250
-548.3857,-139.3984,-119.1533,3290.0012,41588.7656,-47013.7656
-545.4587,-74.3336,-108.5429,14288.7548,36093.7617,-36793.7617
-276.6625,-114.0920,-73.2970,-52202.5156,-16178.7568,52001.2695
13.5374,204.9510,165.7414,26906.2617,-93073.7890,148907.5468
-686.9913,1081.5264,309.9571,-3412.5012,-198581.3281,286685.1250
-1615.2770,1232.6939,791.1437,24325.0097,-258037.5937,286685.1250
-1277.3305,1193.5454,884.6859,-47617.5195,-235182.5937,286685.1250
-512.7128,-241.2336,-43.6611,-17421.2558,23607.5078,-13317.5039
-503.7490,-266.1131,-82.3219,-22295.0078,20300.0078,-7428.7519
-460.0878,-331.4828,-63.3574,-13133.7539,201.2501,12250.0039
-402.0967,79.5778,3.9636,-33416.2617,-58642.5234,97667.5312
-506.2491,255.8076,241.5385,-69571.2734,-148181.3125,218925.0781
-1067.3183,1301.4174,664.4901,27825.0097,-237510.0781,286685.1250
-1611.8624,1136.7126,655.5261,57653.7695,-286685.1250,286685.1250
-827.2434,902.7966,380.8759,-22671.2597,-201670.0781,286685.1250
-655.8920,851.0863,755.4099,4200.0014,-14533.7548,10631.2529
-346.6056,79.1510,106.9575,-19110.0078,52911.2695,-71741.2734
-375.4487,47.6857,61.5890,-28577.5097,45508.7695,-55938.7695
-586.7416,-296.7247,-5.8540,8128.7529,7542.5029,13860.0048
-676.8078,-371.4241,-267.2717,-962.5004,-15715.0058,27938.7597
-274.5283,-161.5948,-178.4860,-26433.7597,-40162.5156,61495.0156
-238.0017,759.3736,478.1377,-27177.5097,-102401.2890,199955.0625
-717.4809,1225.9251,616.8043,-33267.5117,-212388.8281,286685.1250
-1470.5126,1502.6485,829.1948,34790.0117,-251221.3281,286685.1250
-1013.9617,986.7040,589.3027,10211.2539,-165278.8125,286685.1250
-403.0114,147.6306,178.4860,-21227.5078,52850.0195,-81646.2812
-377.2781,95.8593,101.1035,-44327.5156,44406.2656,-65152.5234
-507.9565,-244.5265,-42.5025,30310.0097,11935.0039,2108.7507
-894.1375,-274.1624,-116.2873,-2152.5007,-8942.5029,15662.5058
-1003.1074,-191.4746,-106.5306,-20693.7578,-12932.5048,19827.5078
-302.6396,-60.1255,8.7200,-25532.5097,-40048.7656,61398.7734
-250.3195,636.1958,306.7862,-21420.0078,-143815.0468,241193.8281
-1057.9276,1224.5228,699.1872,-332.5001,-231892.5781,286685.1250
-1281.4772,1252.0853,767.6058,9913.7539,-249742.5937,286685.1250
-705.5291,742.4214,226.5986,-38351.2617,-161525.0625,270663.8437
-476.3693,-196.2920,-64.7599,-5600.0019,4427.5014,20685.0078
-421.4270,-176.4127,-56.4057,-10972.5039,-2152.5007,27160.0097
-374.5341,67.2600,-27.0748,-37231.2656,-66053.7812,102305.0390
-730.5914,376.8513,204.0973,-14315.0048,-140883.7968,189367.5781
-898.0402,1098.6005,498.3828,-39322.5117,-178080.0625,264320.1250
-1004.6318,981.4598,676.4420,90195.0312,-215687.5781,286685.1250
-580.2778,846.6348,668.2097,61460.0195,-181676.3125,286685.1250
-424.1101,883.8931,380.3271,-66815.0234,-100572.5390,156616.3125
-521.1280,-107.6282,-14.7570,-8758.7529,12416.2548,-12425.0048
-521.1280,-107.6282,-14.7570,-19547.5078,12416.2548,-12425.0048
-329.8364,-247.5144,-44.8807,-5180.0019,-8968.7529,29181.2597
-281.4798,481.5526,46.8930,-45605.0156,-48632.5195,108106.2890
-1012.1932,1273.4279,842.0004,-56096.2734,-172926.2968,286685.1250
-1533.1383,1004.1440,557.0447,44616.2617,-253505.1093,286685.1250
-1056.5860,1096.6494,502.9562,-630.0003,-255753.8437,286685.1250
-486.1260,854.7451,210.6830,-35717.5156,-121616.2890,184135.0625
-464.6003,89.2125,19.2084,10578.7539,56323.7695,-68442.5234
-464.6003,89.2125,19.2084,10097.5039,50391.2695,-68442.5234
-394.0474,-187.4500,-84.7001,-21735.0078,17281.2558,-6203.7519
-330.5071,-392.4010,-191.0477,560.0003,-25768.7597,60138.7734
-440.2086,25.7332,47.5028,-13212.5048,-61223.7773,97545.0312
-666.3804,622.7193,385.2664,-3561.2512,-108368.7890,204426.3281
-1241.7796,875.2341,641.0740,58878.7734,-194425.0781,286685.1250
-1272.6962,1027.6209,470.8812,38902.5117,-237711.3281,286685.1250
-907.3700,992.6799,785.4727,-49070.0156,-224262.5781,286685.1250
-616.0115,687.3572,283.4312,29391.2617,-112490.0390,148400.0468
-515.7619,262.7593,131.1052,-33215.0156,91367.5390,-155233.8125
-515.7619,262.7593,131.1052,-33215.0156,91367.5390,-155233.8125
-466.0638,-253.9173,-13.2935,29636.2597,56393.7695,-56595.0234
-430.2691,-434.7814,-172.5711,12127.5048,32873.7656,-38447.5156
-348.4960,137.0812,70.4919,-1846.2506,-32462.5117,71382.5234
-618.2069,141.8985,234.1600,-22872.5097,-129631.3046,211400.0781
-858.5867,336.3001,157.6921,-7542.5029,-189927.5625,274723.8750
-847.0007,906.1504,277.1503,77166.2812,-200252.5781,286685.1250
-668.5146,1228.7303,617.4141,48685.0195,-160973.8125,286685.1250
-701.4434,1131.8953,984.3867,41081.2656,-136613.7968,279790.1250
-317.1527,253.3075,219.8299,-18602.5078,68643.7734,-98245.0312
-305.3837,253.3075,219.8299,-60541.2773,56831.2695,-78093.7734
-275.3210,-156.0457,-24.0258,35743.7617,-9817.5039,30782.5136
-403.3772,-316.1770,-106.7745,4996.2519,-50636.2695,68092.5234
-347.3374,174.7053,92.0176,1986.2507,-72861.2734,80526.2812
-508.0175,1000.3023,487.5894,-21463.7578,-134706.2968,227158.8281
-1046.5244,1524.9060,844.9274,21385.0078,-217253.8281,286685.1250
-1192.3867,1563.6278,884.1370,14901.2548,-209965.0781,286685.1250
-423.4394,307.8839,167.7537,-4891.2519,77892.5312,-136745.0468
-383.1321,226.2937,150.8625,-3106.2512,69746.2734,-118623.7890
-337.1539,-123.7877,39.3925,-5092.5019,20448.7578,-25620.0097
-227.5743,-143.7279,-186.4743,-34895.0117,-49393.7695,76746.2734
-337.8246,-24.2697,-178.6080,-3150.0012,-95593.7890,139991.2968
-416.8536,773.9477,304.9568,28367.5097,-131302.5468,232312.5781
-725.7131,1478.8669,902.7966,-1172.5004,-185438.8125,286685.1250
-1052.8054,1552.0418,1062.8669,146002.5625,-203411.3125,286685.1250
-994.0824,1013.2299,237.0260,52.5000,-141855.0468,284313.8750
-459.9659,83.1756,-19.2084,15627.5039,48020.0195,-111072.5390
-459.9659,83.1756,-19.2084,15627.5039,48020.0195,-111072.5390
-167.8147,-37.1973,-96.7130,-54451.2695,-11751.2539,26031.2597
-233.7332,156.9604,118.5435,-25847.5078,-122158.7812,184336.3125
-691.9916,879.6855,532.8970,-43487.5156,-178631.3125,233721.3437
-1197.5699,1147.7500,837.6710,78312.5234,-244308.8593,286685.1250
-975.4227,551.9226,594.9129,9598.7539,-232146.3281,286685.1250
-543.3245,996.6435,707.9072,39103.7656,-163423.8125,233773.8281
-516.0667,-277.0893,-201.1093,-55028.7695,-1426.2504,5285.0019
-516.0667,-277.0893,-201.1093,-55028.7695,-1426.2504,5285.0019
-390.5106,197.2676,143.2401,-55177.5195,-32025.0136,59745.0195
-288.2485,167.7537,305.0178,-14271.2548,-103346.2812,178185.0625
-669.0634,912.5532,375.2048,-13728.7548,-205948.8125,286685.1250
-1368.9824,1808.3981,1184.5205,40862.5156,-286623.8437,286685.1250
-969.0200,797.4246,621.5607,262.5001,-237177.5937,286685.1250
-202.0850,-57.5034,-8.1102,-11926.2539,-6947.5029,6090.0019
-209.9513,-135.3128,-8.1102,-7201.2529,-13352.5048,18987.5058
-162.7534,13.8423,74.0897,-38377.5117,-60173.7773,104632.5390
-466.6126,402.2186,216.4151,-33320.0117,-139195.0625,217455.0781
-765.1666,634.7322,223.8545,22645.0078,-214768.8281,286685.1250
-1112.1381,1778.0916,857.9159,84551.2812,-257083.8593,286685.1250
-762.9713,1069.6966,938.4695,27790.0117,-200541.3125,286685.1250
-391.2424,-55.9789,-36.0997,-2135.0007,66718.7734,-115307.5390
-391.2424,-55.9789,-36.0997,-2135.0007,66718.7734,-115307.5390
-402.5845,-149.4599,-75.6142,-10753.7539,39025.0156,-49568.7656
-29.9408,-33.6605,-21.3427,-42463.7656,-41090.0117,56918.7656
-256.1735,53.1129,0.7318,11698.7539,-143902.5625,171998.8125
-790.2291,1018.8400,307.5180,45333.7695,-192946.3125,266253.8437
-1343.0662,1386.1785,661.5630,44467.5195,-217735.0781,286685.1250
-1004.9368,1384.5321,999.1437,96320.0312,-147350.0625,286685.1250
-853.0375,1202.2652,768.7645,57750.0234,-147000.0625,286685.1250
-638.3909,596.1324,332.0316,-4375.0014,116243.7968,-285337.5937
-638.3909,596.1324,332.0316,-4375.0014,116243.7968,-285337.5937
-345.0202,-91.2858,-15.9156,97903.7890,89783.7890,-174921.3125
-85.3099,47.1369,-89.9443,-54923.7695,21210.0078,-11602.5048
-30.3676,-408.4385,-30.6725,-14673.7548,-61547.5273,132492.5468
-305.3227,109.6405,-3.1709,18917.5058,-131355.0468,203183.8125
-866.0262,893.2838,166.5951,-1697.5006,-201127.5781,286685.1250
-1182.2641,1340.1392,718.7615,-3981.2517,-194241.3281,286685.1250
-992.6189,1224.9495,838.2197,54005.0195,-175673.7968,286685.1250
-757.9101,927.8591,444.0504,13457.5058,-118571.2968,250092.5781
-715.7735,1070.7943,595.8884,17272.5058,-1102.5003,-15128.7568
-605.0354,638.2689,278.3089,-14848.7548,121957.5390,-217175.0781
-541.9829,662.7216,296.8466,-45771.2656,112813.7890,-192447.5781
-14.6960,-2.4392,-24.2697,6658.7519,26390.0097,-6265.0024
-113.2993,-603.5109,-325.2629,15172.5058,-6431.2519,23231.2578
-216.3541,170.7417,-39.0876,6090.0019,-13387.5048,13930.0048
-778.1552,887.3080,414.4145,52727.5195,-123908.8046,251641.3437
-1273.4279,957.7999,463.3807,-446.2502,-206088.8281,286685.1250
-1187.8133,1307.3325,707.4804,726.2503,-203288.8281,286685.1250
-736.9332,1019.3278,412.6461,90755.0312,-164535.0625,286685.1250
-387.8275,50.6127,-94.4567,218.7501,64128.7734,-87692.5312
-372.1559,6.9516,-130.3735,25838.7578,59998.7734,-79038.7812
-396.6695,-649.0014,-347.3983,23257.5078,54678.7734,-73736.2734
-361.0577,210.2562,-15.2448,23327.5097,31482.5117,-55273.7695
-498.0779,321.2383,190.4989,5985.0019,-100283.7812,202492.5781
-810.5961,301.0542,72.3213,-24158.7578,-162496.2968,272562.5937
-1074.6968,1169.5804,551.8615,16073.7568,-162785.0625,286685.1250
-864.6845,1148.6646,812.6084,10797.5039,-158900.0468,286685.1250
-683.8204,1028.3526,571.9846,27685.0097,-171963.8125,286685.1250
-409.7191,304.1032,167.9976,-48886.2656,71715.0234,-149476.3125
-381.0588,269.6499,48.6614,-54451.2695,62370.0234,-128520.0390
-85.5538,-64.1501,79.0290,-12215.0048,5923.7519,332.5001
39.0267,-126.9586,-14.0862,26241.2597,-74147.5312,105052.5390
-250.3195,478.5035,207.6950,-29951.2617,-173600.0625,227640.0781
-1066.6477,1496.0628,634.7322,-42122.5156,-255613.8593,286685.1250
-1449.8408,1464.9636,766.9960,129491.2968,-261721.3281,286685.1250
-377.5220,243.7337,61.6499,28087.5097,38430.0156,-73972.5234
-379.5344,243.7337,61.6499,27623.7617,32637.5117,-56665.0195
-320.5675,-10.0006,-33.9654,-33923.7617,2222.5007,30738.7578
-247.9413,321.8481,413.3778,-32830.0078,-72362.5312,156922.5468
-605.4013,390.8765,170.4368,23257.5078,-205126.3281,286685.1250
-918.1025,1438.6206,775.8380,-15916.2558,-283290.0937,286685.1250
-1192.5695,1322.3942,1202.3872,16782.5058,-286685.1250,286685.1250
-365.0823,58.0522,25.5503,-24298.7578,28210.0117,-6886.2524
-332.3365,52.6860,-11.4031,-21157.5078,19468.7578,7752.5034
-212.8173,17.8669,83.6634,-13256.2548,-31937.5117,83518.7812
-400.8161,268.5523,206.8413,-63385.0273,-125545.0468,193392.5781
-813.4621,853.9523,436.7328,24578.7597,-241456.3437,286685.1250
-1125.6755,1147.9937,376.2415,71216.2734,-286055.0937,286685.1250
-519.6035,1014.8153,812.7304,2301.2507,-168568.7968,286685.1250
