accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps]
-47.456838,83.380869,1167.648273,-39150.20647,1558.445216,-3747.144012
-516.355686,4.945545,1998.571212,-2119.94386,65890.147,-3546.608782
-244.850364,-57.766005,1998.571212,-42868.7026,286685.1648,11734.17574
516.416868,-192.631527,650.619585,47618.52276,286685.1648,40531.03477
338.968674,68.3199,-779.876757,13195.21813,174144.7937,9241.809314
527.643765,-26.71614,-1519.730289,-6079.082258,-107624.3932,5477.476568
1799.107695,-264.367422,-321.827517,-54310.66986,-286685.1648,-39820.5671
1806.673869,-495.492624,1998.571212,14535.93939,-286685.1648,-50059.32299
-281.325033,-43.000749,1998.571212,15870.93106,-131098.4742,19469.10604
-30.193317,-27.817416,1381.08168,50305.69484,29862.56054,3970.597554
-348.309126,-85.766967,1998.571212,-118533.5097,95855.83994,-18340.37918
243.443178,-676.050903,1998.571212,72398.94761,286685.1648,59152.16327
753.639876,186.350175,1224.986004,49262.91164,286685.1648,-20632.21038
648.600579,-137.618712,-166.833117,-2028.270612,286685.1648,4331.560968
611.942364,-49.169934,-1729.074699,17343.43261,40496.6573,8181.837384
1778.611725,17.875341,-1002.334509,-50924.48926,-286685.1648,-25233.06151
1998.20412,-442.610982,1998.571212,2704.360816,-286685.1648,-119163.7632
75.886074,90.579951,1998.571212,83606.00218,-193023.7532,44255.26047
170.555022,-26.532594,1141.35021,21531.75412,6852.575288,-2859.059422
-442.672164,38.493675,1998.571212,-44811.02954,231629.6498,-1294.884628
602.367381,-421.992648,1998.571212,93352.01435,286685.1648,41167.01793
1071.510957,-39.951846,510.747336,21044.73999,286685.1648,13498.88577
1143.858672,-48.313386,-1471.539267,60848.11836,158932.7641,11739.90532
1492.035237,-96.320862,-971.284644,-50935.94842,-250416.9361,-27221.22508
1604.579526,-293.77557,1509.35994,-40387.79532,-286685.1648,-53434.04443
821.16441,-875.575602,1998.571212,17160.08611,-286685.1648,-79767.18492
298.833282,12.44034,1096.095924,35815.59208,49434.79898,-8926.682524
-790.481637,940.724235,1998.571212,26075.30948,268671.3716,-56419.15457
1182.525696,235.153017,1998.571212,-79062.44682,286685.1648,-31174.6339
1732.857786,-134.926704,-758.095965,6359.83158,286685.1648,9774.660068
1998.20412,-177.754104,-1592.56746,-12977.49417,-192966.4575,1512.608592
1891.706652,-250.213986,732.776814,-101333.3165,-286685.1648,-46277.80151
979.340274,-58.255461,1998.571212,61650.25928,-286685.1648,27897.31528
-413.202834,-185.197914,1998.571212,-31140.25643,24218.92621,14174.97597
-891.31977,27.878598,1998.571212,93180.12701,112116.3823,7465.640134
505.434699,359.587008,1998.571212,-62372.18611,286685.1648,-36445.84566
1278.785376,-203.674878,464.503941,27983.25895,286685.1648,6709.335838
1218.33756,-142.24815,-1600.612893,73464.64912,92567.06217,-1100.078976
1387.91367,-262.175067,-579.617874,-74289.70835,-286685.1648,-9791.848802
1299.893166,-159.205761,1953.918549,6835.386554,-286685.1648,-58097.92092
-838.733841,-16.162245,1998.571212,-55307.61643,-230380.6018,18661.23555
-542.765916,77.344245,1771.229097,7305.21195,-10720.04044,3397.639754
-746.869068,300.546378,1998.571212,63191.51576,44083.37313,297.938056
184.586094,117.245106,1998.571212,-39218.96141,286685.1648,11109.65174
1202.287482,-293.77557,701.798328,55393.5601,286685.1648,35420.2512
1217.603376,-67.035078,-1791.113247,23055.82187,164759.745,-315.12679
1504.302228,-186.900813,-786.525201,8777.713496,-286685.1648,515.66202
