accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps]
-944.874414,34.15995,389.902689,26974.85322,-4062.270802,2904.896046
-991.229976,46.539108,324.692874,2750.19744,3563.797516,-2211.617108
-986.35581,46.110834,301.025637,5408.721632,1398.017032,-1942.326942
-986.416992,19.761786,276.634413,2692.90166,3689.848232,-5660.823064
-969.948837,18.844056,265.101606,1558.445216,1627.200152,-3603.904562
-995.624883,32.93631,275.471955,2406.42276,-3936.220086,5322.777962
-1014.836031,15.489243,314.393904,2801.763642,-446.907084,2807.49322
-989.465895,27.389142,339.396948,-3999.245444,4182.59194,-5523.313192
-862.706988,297.191565,75.4578,2521.01432,9688.716398,59501.66753
-1346.799366,1230.288444,231.737022,52414.17954,24900.74599,286685.1648
-777.001203,1129.21578,679.038624,103934.5449,-19320.13702,286685.1648
-7.994448,549.291996,-71.552349,52030.29782,-3632.552452,225017.7168
93.628854,521.902854,-35.801667,17068.41286,-18924.79613,22356.81336
224.660304,714.728124,-107.292834,-9396.50792,6772.361196,-64222.8398
-199.402335,665.619372,377.462349,-83451.30357,25061.17417,-228736.2129
-1010.757231,-56.725911,163.35594,-5758.22589,-10473.66858,-4182.59194
-1015.570215,-67.769262,297.130383,7918.276796,0,-1655.848042
-1004.353515,-86.562333,203.246604,-1564.174794,-7522.935914,464.095818
-1010.696049,-52.157655,240.577821,2876.248156,-1512.608592,-1111.538132
-991.291158,-53.860554,219.113136,1512.608592,1294.884628,-647.442314
-995.135427,-60.447816,212.515677,263.560588,-1873.572006,-1489.69028
-1021.311126,-50.322195,203.491332,2859.059422,-3878.924306,1592.822684
-924.072534,-16.039881,175.551552,3884.653884,-1988.163566,21159.33155
-871.43562,320.246982,140.973525,12513.39835,-5042.02864,166461.4296
-816.902064,1199.299761,216.910584,48369.09748,-17876.28336,286685.1648
-626.40171,1328.067477,396.428769,101086.9447,-17876.28336,286685.1648
-125.657631,914.191641,-33.54813,62693.04248,-28137.95756,186566.5188
44.346753,473.783211,-139.321611,18340.37918,-11768.55321,-22459.94576
251.927082,761.81787,-148.896594,-1827.735382,-3729.955278,9746.012178
-1010.145411,-9.269073,200.564793,-5511.854036,1546.98606,-8812.090964
-1024.727121,26.654958,162.377028,1065.701508,-3317.425662,-1312.073362
-1025.145198,-17.814159,209.222046,3947.679242,-4417.504638,-5242.56387
-1005.811686,-11.777535,196.536978,2377.77487,-2257.453732,-1512.608592
-1008.738225,-20.373606,184.402548,-933.921214,-85.94367,-1375.09872
-1002.150963,-14.948802,195.017625,-401.07046,286.4789,137.509872
-985.560444,-15.19353,185.615991,-7952.654264,-1375.09872,1695.955088
-1033.078464,28.062144,203.368968,-3334.614396,-10124.16433,28332.76321
-900.344115,293.286114,176.836374,-6187.94424,-9757.471334,80105.23002
