accX,accY,accZ,gyroX,gyroY,gyroZ
-10.0014,-0.5880,0.4259,-0.0029,-0.0005,-0.0547
-9.9745,-0.5958,0.4493,-0.0023,0.0012,-0.0509
-9.9960,-0.5731,0.4158,-0.0011,-0.0011,-0.0209
-10.0086,-0.5575,0.4648,0.0003,-0.0005,0.0153
-9.9864,-0.5557,0.4343,0.0002,-0.0023,0.0202
-10.0014,-0.5312,0.4337,-0.0027,0.0020,-0.0458
-9.9751,-0.6072,0.4253,-0.0053,-0.0101,-0.1014
-9.9691,-0.7388,0.4582,-0.0026,0.0018,-0.0338
-9.9936,-0.6317,0.4187,0.0006,0.0017,0.0386
-9.9906,-0.4947,0.4319,0.0005,-0.0014,0.0270
-9.9817,-0.5222,0.4146,-0.0018,-0.0023,-0.0276
-9.9942,-0.5737,0.4271,-0.0032,-0.0063,-0.0476
-9.9906,-0.5940,0.4289,-0.0035,0.0027,-0.0554
-9.9870,-0.6514,0.4451,-0.0008,-0.0102,-0.0140
-9.9805,-0.5366,0.4229,-0.0002,0.0034,0.0176
-10.0020,-0.5318,0.4355,-0.0008,-0.0058,-0.0121
-9.9763,-0.5474,0.4313,-0.0034,-0.0038,-0.0484
-9.9930,-0.6281,0.4343,-0.0043,0.0017,-0.0583
-9.9930,-0.6508,0.4594,-0.0015,-0.0027,-0.0224
-9.9757,-0.5940,0.4319,-0.0014,-0.0020,-0.0027
-10.0026,-0.5761,0.4283,0.0000,-0.0018,0.0057
-9.9960,-0.5587,0.4361,-0.0023,-0.0006,-0.0308
-9.9960,-0.5952,0.4373,-0.0021,-0.0035,-0.0302
-9.9936,-0.5940,0.4307,-0.0027,0.0002,-0.0304
-9.9841,-0.6293,0.4325,-0.0015,-0.0041,-0.0336
-9.9912,-0.5934,0.4373,-0.0009,-0.0023,-0.0086
-9.9972,-0.5509,0.4122,-0.0020,-0.0003,-0.0295
-9.9900,-0.6275,0.4349,-0.0026,-0.0027,-0.0418
-9.9835,-0.6150,0.4463,-0.0017,0.0008,-0.0116
-9.9852,-0.6108,0.4343,-0.0014,-0.0026,-0.0211
-9.9847,-0.5982,0.4301,-0.0023,-0.0012,-0.0284
-9.9912,-0.6245,0.4343,-0.0017,-0.0015,-0.0307
