accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps]
-1058.825889,-24.340239,6.403716,14793.7704,31455.38322,-4153.94405
-1022.891661,-40.930758,26.532594,-5494.665302,2870.518578,-2372.045292
-1026.491202,-27.511506,14.153436,-2641.335458,618.794424,-802.14092
-1021.729203,-27.93978,29.214405,-2526.743898,-716.19725,-1426.664922
-1022.952843,-22.994235,32.273505,418.259194,-1827.735382,-1145.9156
-1028.020752,-26.349048,17.691795,710.467672,1581.363528,-1340.721252
-1022.279841,-25.196787,34.588224,383.881726,-4434.693372,-1283.425472
-1027.65366,-27.02205,23.422509,120.321138,1117.26771,-1461.04239
-1025.879382,-24.401421,30.009771,343.77468,544.30991,-1398.017032
-1025.8182,-24.156693,27.756234,286.4789,97.402826,-1346.45083
-1024.665939,-22.198869,35.38359,286.4789,280.749322,-1375.09872
-1026.491202,-21.168972,27.389142,1145.9156,360.963414,-1329.262096
-1023.625845,-23.177781,31.233411,1059.97193,802.14092,-1455.312812
-1026.43002,-20.863062,29.336769,3432.017222,-733.385984,-1283.425472
-1023.809391,-24.523785,27.756234,11.459156,1380.828298,-1592.822684
-1023.442299,-23.973147,27.144414,693.278938,1541.256482,-1512.608592
-1023.503481,-23.973147,28.062144,63.025358,-166.157762,-1472.501546
-1024.298847,-22.871871,25.4925,-532.850754,-211.994386,-1409.476188
-1024.604757,-24.646149,28.000962,-492.743708,-315.12679,-1598.552262
-1024.115301,-24.217875,27.817416,-234.912698,-85.94367,-1455.312812
-1024.910667,-24.034329,25.676046,-360.963414,-567.228222,-1506.879014
-1025.573472,-22.321233,21.597246,-11.459156,-51.566202,-1546.98606
-1023.503481,-23.606055,26.226684,-211.994386,-378.152148,-1529.797326
-1024.115301,-24.340239,24.156693,-148.969028,613.064846,-1340.721252
-1025.328744,-23.361327,24.279057,-51.566202,469.825396,-1409.476188
-1023.625845,-23.544873,27.266778,-103.132404,85.94367,-1443.853656
-1024.237665,-22.02552,27.450324,45.836624,-166.157762,-1398.017032
-1025.879382,-22.198869,22.994235,120.321138,-17.188734,-1392.287454
-1025.267562,-22.137687,25.859592,-263.560588,63.025358,-1461.04239
-1025.940564,-22.871871,22.688325,63.025358,-796.411342,-1346.45083
-1023.258753,-23.483691,29.275587,-85.94367,315.12679,-1392.287454
-1024.176483,-23.850783,28.673964,-114.59156,194.805652,-1529.797326
-1022.463387,-22.749507,32.508036,-28.64789,-154.698606,-1409.476188
-1024.115301,-23.300145,29.336769,1111.538132,842.247966,-1443.853656
-1023.503481,-23.300145,26.10432,-85.94367,630.25358,-1426.664922
-1024.849485,-22.321233,24.890877,-51.566202,63.025358,-1409.476188
-1024.421211,-22.933053,25.441515,-183.346496,166.157762,-1443.853656
-1025.022834,-22.382415,22.260051,-85.94367,166.157762,-1380.828298
-1024.176483,-20.924244,25.257969,45.836624,-154.698606,-1392.287454
-1023.870573,-22.565961,26.10432,68.754936,-154.698606,-1415.205766
-1023.442299,-19.88415,26.043138,-45.836624,-217.723964,-1443.853656
-1025.695836,-20.312424,21.230154,-280.749322,45.836624,-1357.909986
-1022.524569,-21.780792,30.743955,-17.188734,-137.509872,-1409.476188
-1024.115301,-21.168972,26.10432,-297.938056,-234.912698,-1380.828298
-1024.115301,-22.627143,30.132135,-194.805652,-114.59156,-1409.476188
-1024.665939,-21.903156,26.777322,-229.18312,0,-1472.501546
-1025.084016,-22.382415,26.349048,-45.836624,-464.095818,-1506.879014
-1025.389926,-23.300145,25.676046,-183.346496,103.132404,-1506.879014
-1025.879382,-23.667237,23.055417,-131.780294,297.938056,-1392.287454
-1023.992937,-23.850783,27.695052,-120.321138,-97.402826,-1524.067748
-1025.389926,-22.627143,25.257969,-63.025358,-401.07046,-1432.3945
-1024.961652,-22.504779,24.707331,11.459156,166.157762,-1398.017032
-1023.319935,-22.994235,27.02205,28.64789,378.152148,-1312.073362
-1025.20638,-21.71961,21.597246,-137.509872,137.509872,-1357.909986
-1024.298847,-20.679516,24.217875,-85.94367,326.585946,-1249.048004
-1023.687027,-18.844056,26.043138,80.214092,-51.566202,-1392.287454
-1024.961652,-20.924244,26.165502,11.459156,-131.780294,-1455.312812
-1025.51229,-20.80188,23.422509,-211.994386,-378.152148,-1472.501546
-1024.604757,-20.312424,22.321233,-246.371854,509.932442,-1392.287454
-1024.237665,-21.841974,26.654958,-252.101432,-246.371854,-1426.664922
-1024.482393,-20.49597,25.380333,-252.101432,-68.754936,-1461.04239
-1023.809391,-22.137687,26.71614,-332.315524,-97.402826,-1443.853656
-1024.176483,-22.871871,25.196787,-492.743708,229.18312,-1306.343784
-1025.451108,-22.871871,23.361327,-97.402826,-401.07046,-1524.067748
-1025.267562,-22.443597,23.422509,-131.780294,211.994386,-1415.205766
-1024.849485,-23.055417,26.165502,-120.321138,-28.64789,-1443.853656
-1023.503481,-21.168972,25.4925,-246.371854,-435.447928,-1489.69028
-1025.022834,-21.046608,25.196787,-200.53523,-85.94367,-1415.205766
-1024.176483,-19.822968,24.707331,-80.214092,-80.214092,-1346.45083
-1024.115301,-19.88415,24.034329,-217.723964,-28.64789,-1375.09872
-1024.727121,-19.945332,24.279057,-131.780294,297.938056,-1375.09872
-1027.286568,-19.761786,23.116599,-63.025358,-166.157762,-1432.3945
-1024.115301,-19.394694,23.361327,-183.346496,-85.94367,-1398.017032
-1024.665939,-20.251242,22.871871,-103.132404,-103.132404,-1357.909986
-1024.237665,-20.863062,24.156693,-280.749322,-716.19725,-1638.659308
-1025.51229,-21.903156,22.565961,-177.616918,177.616918,-1380.828298
-1024.421211,-22.137687,24.952059,-194.805652,-45.836624,-1455.312812
-1024.237665,-21.597246,22.810689,-11.459156,-297.938056,-1472.501546
-1024.604757,-21.597246,21.597246,-252.101432,211.994386,-1357.909986
-1023.687027,-20.80188,25.074423,-137.509872,-532.850754,-1546.98606
-1025.084016,-22.086702,23.177781,-166.157762,80.214092,-1392.287454
-1024.176483,-19.333512,23.606055,120.321138,-527.121176,-1472.501546
-1023.931755,-20.312424,24.217875,-131.780294,-286.4789,-1529.797326
-1025.879382,-20.373606,23.238963,-280.749322,-229.18312,-1432.3945
-1023.197571,-20.618334,25.920774,-166.157762,183.346496,-1375.09872
-1024.543575,-19.88415,23.300145,-137.509872,-148.969028,-1346.45083
-1023.992937,-19.088784,24.646149,-166.157762,-446.907084,-1426.664922
-1025.8182,-19.88415,20.373606,-183.346496,229.18312,-1312.073362
-1024.788303,-20.924244,21.352518,-360.963414,303.667634,-1323.532518
-1024.665939,-21.536064,23.055417,-17.188734,-200.53523,-1495.419858
-1023.625845,-22.382415,22.321233,120.321138,-97.402826,-1506.879014
-1025.328744,-22.137687,21.536064,-217.723964,366.692992,-1294.884628
-1024.849485,-22.260051,20.679516,-194.805652,45.836624,-1443.853656
-1024.543575,-20.863062,22.260051,-154.698606,-349.504258,-1443.853656
-1023.258753,-20.557152,24.890877,-217.723964,-120.321138,-1443.853656
